epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.09507,1.38131,3.49748,1.13024,0.02333,0.71429,0.16131,0.12079,1.41606,3.36473,1.03433,0,0,0
2,18.1714,1.40626,3.49385,1.1628,0.02435,0.71429,0.15313,0.12288,1.39287,3.36411,1.02979,1.6505e-05,1.6505e-05,1.6505e-05
3,26.8583,1.46744,3.5495,1.14813,0.02467,0.71429,0.16202,0.13544,1.35237,3.35024,1.01752,3.26799e-05,3.26799e-05,3.26799e-05
4,35.1083,1.40359,3.54323,1.1086,0.02649,0.7619,0.18938,0.15281,1.31012,3.34327,1.0047,4.85247e-05,4.85247e-05,4.85247e-05
5,43.5831,1.3221,3.37399,1.0564,0.02671,0.7619,0.24016,0.16315,1.2867,3.33776,0.99398,6.40395e-05,6.40395e-05,6.40395e-05
6,52.5036,1.47496,3.28755,1.14186,0.02658,0.7619,0.25265,0.17778,1.23412,3.30744,0.96086,7.92242e-05,7.92242e-05,7.92242e-05
7,61.1388,1.38782,3.18594,1.11809,0.02649,0.7619,0.29974,0.19814,1.1848,3.28733,0.94246,9.40788e-05,9.40788e-05,9.40788e-05
8,69.569,1.32749,3.07925,1.09558,0.02447,0.71429,0.38411,0.25981,1.15939,3.26731,0.94929,0.000108603,0.000108603,0.000108603
9,77.9995,1.19039,2.92546,1.05168,0.02396,0.71429,0.43711,0.28091,1.18428,3.27295,0.94737,0.000122798,0.000122798,0.000122798
10,86.501,1.23702,2.855,1.04211,0.02556,0.7619,0.4505,0.29496,1.14342,3.26906,0.94591,0.000136662,0.000136662,0.000136662
11,95.1028,1.2533,2.72408,1.04504,0.02362,0.71429,0.45217,0.32386,1.15416,3.2675,0.95213,0.000150197,0.000150197,0.000150197
12,103.799,1.24148,2.61156,1.05245,0.02473,0.7619,0.4851,0.33572,1.13397,3.26915,0.95104,0.000163401,0.000163401,0.000163401
13,112.674,1.24728,2.4935,1.08155,0.02778,0.85714,0.48901,0.34354,1.12606,3.26945,0.9636,0.000176275,0.000176275,0.000176275
