epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.93745,0.79104,0.81499,0.90894,0.89588,0.4109,0.6493,0.45041,1.2329,2.07619,1.03095,0,0,0
2,17.7437,0.76047,0.76353,0.90039,0.89667,0.41431,0.66157,0.45642,1.22539,2.03977,1.02724,1.6505e-05,1.6505e-05,1.6505e-05
3,26.3118,0.78339,0.76248,0.88857,0.9004,0.43067,0.68024,0.45121,1.24697,1.99499,1.03504,3.26799e-05,3.26799e-05,3.26799e-05
4,34.9499,0.76656,0.8223,0.88934,0.82924,0.42857,0.71941,0.45612,1.26911,1.94264,1.04004,4.85247e-05,4.85247e-05,4.85247e-05
5,43.3679,0.72651,0.7561,0.87875,0.82534,0.45106,0.73087,0.45512,1.36233,1.91789,1.05359,6.40395e-05,6.40395e-05,6.40395e-05
6,52.128,0.81638,0.77382,0.89856,0.8438,0.51506,0.747,0.45089,1.40071,1.85525,1.06274,7.92242e-05,7.92242e-05,7.92242e-05
7,60.6556,0.77288,0.77652,0.91951,0.85638,0.56812,0.74963,0.44861,1.39711,1.78012,1.05482,9.40788e-05,9.40788e-05,9.40788e-05
8,69.6132,0.71942,0.71996,0.88354,0.82764,0.57143,0.73333,0.43321,1.39176,1.69236,1.0523,0.000108603,0.000108603,0.000108603
9,79.0223,0.72684,0.75156,0.88571,0.86574,0.61441,0.70495,0.43753,1.38137,1.62545,1.04394,0.000122798,0.000122798,0.000122798
10,87.7,0.7258,0.71326,0.89716,0.79849,0.61905,0.73295,0.43975,1.3321,1.58983,1.03352,0.000136662,0.000136662,0.000136662
11,96.8713,0.75022,0.75819,0.89194,0.86605,0.61905,0.76482,0.47634,1.30093,1.58707,1.02319,0.000150197,0.000150197,0.000150197
12,106.135,0.75355,0.74186,0.90242,0.8742,0.61905,0.72828,0.47436,1.29628,1.60104,1.03135,0.000163401,0.000163401,0.000163401
13,115.087,0.7145,0.78893,0.89924,0.92814,0.6153,0.74116,0.46747,1.32233,1.65411,1.0512,0.000176275,0.000176275,0.000176275
14,124.111,0.70332,0.72052,0.87386,1,0.4922,0.7688,0.46165,1.30968,1.65675,1.05552,0.000188819,0.000188819,0.000188819
15,132.978,0.74498,0.75645,0.89049,1,0.48809,0.7433,0.43835,1.3306,1.66943,1.05703,0.000201034,0.000201034,0.000201034
16,141.86,0.75682,0.75344,0.87058,1,0.56375,0.75873,0.46089,1.33515,1.5845,1.07571,0.000212918,0.000212918,0.000212918
17,151.197,0.79849,0.78678,0.89532,0.88288,0.61905,0.76924,0.47269,1.31934,1.52495,1.07723,0.000224472,0.000224472,0.000224472
18,160.501,0.78007,0.72589,0.90294,0.91409,0.61905,0.78501,0.47997,1.30638,1.43306,1.08282,0.000235695,0.000235695,0.000235695
19,171.423,0.76257,0.73376,0.86875,0.91663,0.61905,0.78966,0.49398,1.26936,1.40823,1.07953,0.000246589,0.000246589,0.000246589
20,183.737,0.72879,0.76455,0.85125,0.93039,0.63721,0.7846,0.48045,1.27782,1.42428,1.09036,0.000257153,0.000257153,0.000257153
21,193.59,0.70841,0.73269,0.89294,0.92915,0.62485,0.78356,0.47453,1.30166,1.43677,1.10896,0.000267387,0.000267387,0.000267387
22,204.046,0.65183,0.7041,0.86097,0.92946,0.62798,0.78922,0.47796,1.31348,1.42108,1.10488,0.00027729,0.00027729,0.00027729
23,213.137,0.68389,0.748,0.87078,0.92082,0.66667,0.80902,0.48479,1.34091,1.44499,1.136,0.000286864,0.000286864,0.000286864
24,221.881,0.78424,0.76758,0.90082,0.89725,0.61905,0.81371,0.4932,1.32568,1.43893,1.12709,0.000296108,0.000296108,0.000296108
25,230.766,0.69119,0.74596,0.89482,0.92469,0.61905,0.83045,0.50942,1.32459,1.44624,1.11277,0.000305021,0.000305021,0.000305021
26,239.75,0.80644,0.78053,0.89121,0.92571,0.59426,0.82324,0.50512,1.30545,1.45917,1.09566,0.000313604,0.000313604,0.000313604
27,248.955,0.64111,0.72142,0.854,0.92732,0.60819,0.80325,0.48077,1.3099,1.47394,1.09073,0.000321858,0.000321858,0.000321858
28,258.025,0.81594,0.77213,0.8909,0.9297,0.63035,0.77753,0.4666,1.34477,1.49752,1.11117,0.000329781,0.000329781,0.000329781
29,267.385,0.74674,0.72996,0.88388,0.92906,0.62389,0.77123,0.45451,1.40388,1.54291,1.13044,0.000337374,0.000337374,0.000337374
30,276.798,0.68462,0.72173,0.87101,0.9304,0.63732,0.78292,0.45489,1.42672,1.54354,1.11602,0.000344637,0.000344637,0.000344637
31,285.895,0.61438,0.70198,0.83603,0.9271,0.66667,0.78565,0.46902,1.40299,1.52047,1.10224,0.00035157,0.00035157,0.00035157
32,295.095,0.67291,0.69798,0.83196,0.74518,0.66667,0.7875,0.47843,1.42891,1.52441,1.13426,0.000358173,0.000358173,0.000358173
33,304.548,0.64275,0.68179,0.86768,0.77335,0.66667,0.7623,0.48868,1.40595,1.48422,1.1625,0.000364446,0.000364446,0.000364446
34,313.694,0.67843,0.6686,0.86445,0.81209,0.66667,0.77905,0.4793,1.40168,1.39195,1.17058,0.000370389,0.000370389,0.000370389
35,323.026,0.73653,0.69612,0.87417,0.79993,0.66667,0.7899,0.4491,1.49857,1.35865,1.21004,0.000376002,0.000376002,0.000376002
36,332.249,0.65114,0.66786,0.87244,0.81871,0.64584,0.78467,0.46863,1.53468,1.38128,1.21964,0.000381285,0.000381285,0.000381285
37,341.597,0.68458,0.70367,0.87073,0.66737,0.66667,0.77872,0.47903,1.50964,1.42046,1.19965,0.000386237,0.000386237,0.000386237
38,350.642,0.7358,0.71754,0.90752,0.96894,0.52381,0.79105,0.48966,1.49465,1.43547,1.21651,0.00039086,0.00039086,0.00039086
39,359.687,0.7477,0.77214,0.8725,0.93258,0.52381,0.78672,0.49739,1.40595,1.4916,1.16066,0.000395152,0.000395152,0.000395152
40,368.939,0.69646,0.67735,0.86106,0.93098,0.52381,0.78548,0.46466,1.44891,1.56945,1.18059,0.000399115,0.000399115,0.000399115
41,378.198,0.71986,0.72321,0.90641,0.91966,0.54606,0.77829,0.4658,1.43131,1.55812,1.16412,0.000402747,0.000402747,0.000402747
42,387.507,0.78892,0.7776,0.91941,0.95886,0.52381,0.77167,0.45711,1.47678,1.56936,1.15613,0.00040605,0.00040605,0.00040605
